CustomerID,Gender,Age,Tenure_Months,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportTickets,SatisfactionScore,Churn
CUST100000,Male,68,32,128.04,4097.28,Month-to-Month,No Internet,Bank Transfer,6,7,No
CUST100001,Female,57,43,82.32,3539.76,Two Year,Fiber Optic,Electronic Check,3,2,No
CUST100002,Male,24,54,53.96,2913.84,Month-to-Month,Fiber Optic,Electronic Check,4,2,No
CUST100003,Male,49,47,37.82,1777.54,Month-to-Month,Fiber Optic,Bank Transfer,0,5,No
CUST100004,Male,65,14,83.44,1168.16,Month-to-Month,Fiber Optic,Bank Transfer,4,6,Yes
CUST100005,Female,36,48,113.97,5470.56,One Year,Fiber Optic,Bank Transfer,9,1,No
CUST100006,Male,23,55,146.07,8033.85,Month-to-Month,DSL,Electronic Check,9,1,No
CUST100007,Male,37,29,132.04,3829.16,Two Year,No Internet,Bank Transfer,3,1,No
CUST100008,Male,44,47,46.55,2187.85,Month-to-Month,Fiber Optic,Bank Transfer,2,7,Yes
CUST100009,Female,70,63,113.57,7154.91,Month-to-Month,DSL,Mailed Check,8,1,No
CUST100010,Male,60,19,57.58,1094.02,Two Year,DSL,Credit Card,0,9,No
CUST100011,Male,54,9,108.85,979.65,Month-to-Month,Fiber Optic,Credit Card,9,3,No
CUST100012,Male,65,37,106.55,3942.35,Two Year,DSL,Credit Card,4,10,No
CUST100013,Male,24,52,55.42,2881.84,Two Year,DSL,Credit Card,9,2,No
CUST100014,Female,22,57,50.47,2876.79,Two Year,DSL,Credit Card,1,6,No
CUST100015,Male,28,28,33.51,938.28,Two Year,Fiber Optic,Bank Transfer,4,2,No
CUST100016,Female,32,36,26.57,956.52,Month-to-Month,Fiber Optic,Bank Transfer,4,5,No
CUST100017,Female,20,64,131.6,8422.4,Month-to-Month,DSL,Mailed Check,9,5,No
CUST100018,Female,22,18,26.48,476.64,Month-to-Month,Fiber Optic,Electronic Check,0,9,No
CUST100019,Male,40,35,31.54,1103.9,Two Year,DSL,Mailed Check,3,4,No
CUST100020,Female,70,68,51.05,3471.4,Month-to-Month,Fiber Optic,Electronic Check,6,8,No
CUST100021,Male,54,39,135.4,5280.6,Month-to-Month,Fiber Optic,Electronic Check,0,7,Yes
CUST100022,Female,26,8,63.28,506.24,One Year,Fiber Optic,Mailed Check,9,7,No
CUST100023,Female,32,15,44.93,673.95,Month-to-Month,Fiber Optic,Bank Transfer,1,1,No
CUST100024,Female,20,7,113.02,791.14,One Year,Fiber Optic,Mailed Check,3,6,No
CUST100025,Female,46,17,61.48,1045.16,Two Year,No Internet,Credit Card,9,6,No
CUST100026,Female,23,64,63.34,4053.76,One Year,Fiber Optic,Mailed Check,1,10,Yes
CUST100027,Female,34,12,116.07,1392.84,One Year,Fiber Optic,Bank Transfer,1,8,Yes
CUST100028,Female,43,56,52.71,2951.76,One Year,DSL,Bank Transfer,0,6,No
CUST100029,Female,38,46,136.58,6282.68,One Year,Fiber Optic,Electronic Check,1,8,Yes
CUST100030,Male,25,47,92.98,4370.06,Month-to-Month,Fiber Optic,Electronic Check,2,6,No
CUST100031,Male,38,16,89.92,1438.72,Month-to-Month,DSL,Mailed Check,3,8,No
